sub_id,within_state_ps,between_state_ps,cluster,cluster_type,task_index
5,0.7694006426539115,0.7570210595403297,r-IPS,CONT,0.012379583113581782
6,0.8733863978023564,0.8354135984034312,r-IPS,CONT,0.03797279939892517
7,0.976365617371761,0.9873669676135418,r-IPS,CONT,-0.011001350241780838
8,0.62735941777691,0.6358419204707177,r-IPS,CONT,-0.008482502693807792
9,0.6579308961873118,0.6073238465752593,r-IPS,CONT,0.050607049612052535
10,0.7264668611096443,0.6856316013679999,r-IPS,CONT,0.04083525974164437
11,0.7318982363589579,0.7242256037493982,r-IPS,CONT,0.007672632609559749
12,0.7421820166853919,0.7220818597845376,r-IPS,CONT,0.020100156900854205
13,0.9549273695791134,0.9103004241063386,r-IPS,CONT,0.04462694547277479
14,0.8999286444597107,0.8887664815833853,r-IPS,CONT,0.011162162876325321
15,0.972048734462935,0.9249044619835586,r-IPS,CONT,0.04714427247937647
16,0.9558047224270038,0.9606119755791139,r-IPS,CONT,-0.004807253152110169
17,0.6163701553777856,0.62635506509771,r-IPS,CONT,-0.009984909719924384
18,0.8546055039646929,0.8591711788473947,r-IPS,CONT,-0.004565674882701765
19,0.8047875979315811,0.781001148907523,r-IPS,CONT,0.02378644902405802
20,0.7460871506124511,0.7461538336052937,r-IPS,CONT,-6.668299284262602e-05
21,0.7227275143207261,0.6727959447536043,r-IPS,CONT,0.04993156956712186
22,1.0046092620849207,1.0174708494288807,r-IPS,CONT,-0.012861587343959924
23,0.7909161838040027,0.7861224762583479,r-IPS,CONT,0.0047937075456548905
24,0.6197439627421701,0.5663354932071613,r-IPS,CONT,0.053408469535008884
1,0.4607025313287109,0.4293969784267845,PCUN,DMN,0.03130555290192644
2,0.4447321481032169,0.41691927625494374,PCUN,DMN,0.027812871848273135
3,0.45381551300453454,0.36150647867842156,PCUN,DMN,0.09230903432611298
4,0.3552486070315021,0.3042377141919803,PCUN,DMN,0.05101089283952176
5,0.2031679370031649,0.1897894739706354,PCUN,DMN,0.013378463032529514
6,0.6615108630731024,0.631418087761128,PCUN,DMN,0.030092775311974407
7,0.33258203005510756,0.33118080724848725,PCUN,DMN,0.0014012228066203058
8,0.41815068087272866,0.4277277590335917,PCUN,DMN,-0.009577078160863062
9,0.2348999443392628,0.21449336083155152,PCUN,DMN,0.020406583507711296
10,0.5194774154093781,0.4817844871768513,PCUN,DMN,0.03769292823252679
11,0.5069871295518247,0.4827778547335743,PCUN,DMN,0.02420927481825036
12,0.5644082465341946,0.5295751418330202,PCUN,DMN,0.0348331047011744
13,0.5614702737608297,0.5287047578832214,PCUN,DMN,0.03276551587760834
14,0.6577688522667136,0.6018246412647579,PCUN,DMN,0.05594421100195568
15,0.4035588629358775,0.30460069293816827,PCUN,DMN,0.09895816999770923
16,0.5972152373232441,0.5694682558297284,PCUN,DMN,0.027746981493515732
17,0.3601360441438881,0.22299935162051662,PCUN,DMN,0.1371366925233715
18,0.6374917579919896,0.6043194222033991,PCUN,DMN,0.03317233578859058
19,0.48056466622246885,0.36801458954515165,PCUN,DMN,0.1125500766773172
20,0.5412012806107954,0.5024551307136282,PCUN,DMN,0.03874614989716718
21,0.42400232427017887,0.3684728356335911,PCUN,DMN,0.05552948863658774
22,0.4962589358051899,0.4685943559871193,PCUN,DMN,0.027664579818070634
23,0.28328759713942875,0.25859170712852675,PCUN,DMN,0.024695890010902
24,0.5968981128048765,0.5288128805570862,PCUN,DMN,0.06808523224779028
1,0.3278237035922659,0.28549541172817794,l-IPL1,DMN,0.042328291864087986
2,0.5840771384586518,0.5896101501347533,l-IPL1,DMN,-0.005533011676101429
3,0.39095176204648185,0.3564073360057899,l-IPL1,DMN,0.03454442604069197
4,0.28761580906242645,0.28807371794573083,l-IPL1,DMN,-0.00045790888330438095
5,0.1596283282842113,0.1695523496213267,l-IPL1,DMN,-0.009924021337115396
6,0.4808223829221846,0.4709266366872829,l-IPL1,DMN,0.009895746234901692
7,0.11399138609400551,0.09327163658963454,l-IPL1,DMN,0.02071974950437097
8,0.28548844951254626,0.2704875715073781,l-IPL1,DMN,0.015000878005168139
9,0.25405707410930833,0.2146287979533838,l-IPL1,DMN,0.039428276155924535
10,0.3332458059558599,0.31472848564718514,l-IPL1,DMN,0.018517320308674756
11,0.34579348716844494,0.3342218624815697,l-IPL1,DMN,0.011571624686875226
12,0.5525583718697615,0.5415641094084871,l-IPL1,DMN,0.01099426246127444
13,0.33538932308956726,0.2685351607358222,l-IPL1,DMN,0.06685416235374508
14,0.3334401660188103,0.28281302434598754,l-IPL1,DMN,0.050627141672822784
15,0.17790321938254855,0.09064006705611667,l-IPL1,DMN,0.08726315232643188
16,0.28623265501132616,0.27256491888199863,l-IPL1,DMN,0.013667736129327535
17,0.3388990073653946,0.3332581551457721,l-IPL1,DMN,0.005640852219622461
18,0.3202075834337161,0.32871457556432815,l-IPL1,DMN,-0.008506992130612068
19,0.2917569680487375,0.2626851305735758,l-IPL1,DMN,0.029071837475161733
20,0.3590680121888359,0.35959574800054717,l-IPL1,DMN,-0.0005277358117112829
