sub_id,within_state_ps,between_state_ps,cluster,cluster_type,vis_index
1,0.3411118364710491,0.28026601823017294,l-IPL1,DMN,0.06084581824087615
2,0.5929286740622319,0.5797775029618212,l-IPL1,DMN,0.013151171100410752
3,0.392048589285768,0.370731155499649,l-IPL1,DMN,0.021317433786119
4,0.32423731871858397,0.2368966637857095,l-IPL1,DMN,0.08734065493287446
5,0.2209071042831611,0.08821735368590534,l-IPL1,DMN,0.13268975059725574
6,0.4805837266856985,0.45508065209127513,l-IPL1,DMN,0.02550307459442336
7,0.10659953468135738,0.0899706197976743,l-IPL1,DMN,0.01662891488368308
8,0.2921497163485952,0.26112478150398644,l-IPL1,DMN,0.031024934844608776
9,0.25162811208883634,0.22317422167563875,l-IPL1,DMN,0.028453890413197597
10,0.3350226190227219,0.314368751685548,l-IPL1,DMN,0.020653867337173892
11,0.3579855654091306,0.3139636867045369,l-IPL1,DMN,0.04402187870459373
12,0.5560408130591357,0.5212455385138977,l-IPL1,DMN,0.03479527454523801
13,0.3261767882032729,0.28347452090048186,l-IPL1,DMN,0.04270226730279103
14,0.3286985452216482,0.2874208997229848,l-IPL1,DMN,0.04127764549866342
15,0.22998039889819538,0.023495704253956865,l-IPL1,DMN,0.20648469464423852
16,0.320329111063757,0.22525920996763332,l-IPL1,DMN,0.09506990109612368
17,0.39689524411174015,0.2703032233884911,l-IPL1,DMN,0.12659202072324904
18,0.42030529595485544,0.22364641667494137,l-IPL1,DMN,0.19665887927991407
19,0.31848962847583684,0.22961243482267563,l-IPL1,DMN,0.08887719365316121
20,0.506613629438081,0.20591048700410608,l-IPL1,DMN,0.3007031424339749
21,0.5734622394484894,0.5511606327500342,l-IPL1,DMN,0.022301606698455156
22,0.46618550753797083,0.44184883579210976,l-IPL1,DMN,0.02433667174586107
23,0.3444435296433758,0.19879532958892235,l-IPL1,DMN,0.14564820005445347
24,0.4163095565886047,0.2697037079968124,l-IPL1,DMN,0.14660584859179226
1,0.5753033547291199,0.5702130899381814,r-PFC,CONT,0.005090264790938437
2,0.6404777577481606,0.6519657423315257,r-PFC,CONT,-0.011487984583365085
3,0.6038825698976,0.5670255436386435,r-PFC,CONT,0.03685702625895648
4,0.8786699708085748,0.8478860170409179,r-PFC,CONT,0.030783953767656858
5,0.6820021407931531,0.6548783364616912,r-PFC,CONT,0.027123804331461887
6,0.6202107138802937,0.6066323234692583,r-PFC,CONT,0.013578390411035368
7,0.6684919445909434,0.6717594710539591,r-PFC,CONT,-0.0032675264630156464
8,0.7977402418087411,0.7305179651137543,r-PFC,CONT,0.06722227669498682
9,0.5987033859569157,0.5659238316767706,r-PFC,CONT,0.03277955428014512
10,0.7311877808791277,0.7043084500720564,r-PFC,CONT,0.026879330807071278
11,1.0173150025364248,0.9428112515369658,r-PFC,CONT,0.07450375099945905
12,0.9925252785678225,0.9560570715324472,r-PFC,CONT,0.03646820703537523
13,0.7048148908928593,0.6714978778427922,r-PFC,CONT,0.03331701305006707
14,0.6431177462461217,0.5834682171099842,r-PFC,CONT,0.059649529136137525
15,0.9590781421908408,0.943177855889565,r-PFC,CONT,0.015900286301275712
16,0.9298424638961489,0.878996630863784,r-PFC,CONT,0.050845833032364895
17,0.4022738517761694,0.3402045032958502,r-PFC,CONT,0.0620693484803192
18,0.9836514930023694,0.9458848934410671,r-PFC,CONT,0.03776659956130235
19,0.8253834548825157,0.7688848590557085,r-PFC,CONT,0.056498595826807274
20,0.7401414643971782,0.6966651037699257,r-PFC,CONT,0.043476360627252464
21,1.0443716075549492,1.0051318410993604,r-PFC,CONT,0.0392397664555888
22,0.9643290492626624,0.9534338825196799,r-PFC,CONT,0.01089516674298252
23,0.6996698603906562,0.650734621886907,r-PFC,CONT,0.048935238503749146
24,0.48887825796547235,0.4678604884215286,r-PFC,CONT,0.021017769543943743
1,0.5369639599938967,0.4931464665907641,l-PFC1,CONT,0.04381749340313257
2,0.5473526143211568,0.5267798201700997,l-PFC1,CONT,0.02057279415105706
3,1.0889421117494735,1.06955662868126,l-PFC1,CONT,0.019385483068213638
4,0.8295918568361228,0.7721742142901015,l-PFC1,CONT,0.05741764254602133
5,0.915460760506407,0.9146098443547159,l-PFC1,CONT,0.0008509161516910835
6,0.7720865725438548,0.693670276093928,l-PFC1,CONT,0.07841629644992687
7,0.5492736813903607,0.5214623075002589,l-PFC1,CONT,0.027811373890101798
8,0.8206723358823227,0.8054452700903676,l-PFC1,CONT,0.015227065791955097
9,0.6398688413042288,0.5721133616330502,l-PFC1,CONT,0.06775547967117868
10,0.5556663119233174,0.5392681084794548,l-PFC1,CONT,0.016398203443862558
11,0.7791088566771,0.763487684379175,l-PFC1,CONT,0.015621172297924923
12,0.7071921049413769,0.6213855125983426,l-PFC1,CONT,0.08580659234303423
13,0.9975061371883924,0.9566437261494336,l-PFC1,CONT,0.040862411038958824
14,0.7338580296578865,0.6627065988697332,l-PFC1,CONT,0.07115143078815334
15,1.03257740693608,1.00980237477101,l-PFC1,CONT,0.02277503216506993
16,0.5592510622449566,0.5440999743074668,l-PFC1,CONT,0.01515108793748976
17,1.0993364985657785,1.0882006579798038,l-PFC1,CONT,0.011135840585974721
18,1.0462783998103413,1.02435840805027,l-PFC1,CONT,0.021919991760071422
19,0.6286548682414852,0.6396905075561562,l-PFC1,CONT,-0.011035639314670997
20,0.897636394577302,0.7560776446605818,l-PFC1,CONT,0.14155874991672024
21,0.7608004090845186,0.7090980579333928,l-PFC1,CONT,0.05170235115112587
22,0.6794884027237645,0.6544569707131213,l-PFC1,CONT,0.025031432010643284
23,0.4323816102828304,0.3941618585891946,l-PFC1,CONT,0.038219751693635784
24,0.49698039986856946,0.4580546000358471,l-PFC1,CONT,0.038925799832722374
1,0.12043591718876537,0.12051732718822163,PCC,DMN,-8.140999945625838e-05
2,0.10211539490643835,0.09909151880478964,PCC,DMN,0.003023876101648712
3,0.51873304453083,0.4665129350982368,PCC,DMN,0.0522201094325932
4,0.16076699686804002,0.0805002133942023,PCC,DMN,0.08026678347383773
5,0.3326421383491982,0.3324353950145399,PCC,DMN,0.0002067433346583103
6,0.49311654145707384,0.4804934250302912,PCC,DMN,0.012623116426782655
7,0.2143157285136051,0.22557770178911035,PCC,DMN,-0.011261973275505238
8,0.33272399655012463,0.3304892616487701,PCC,DMN,0.002234734901354507
9,0.21804770883685387,0.21086577349473057,PCC,DMN,0.007181935342123302
10,0.3393837715092026,0.3163347710034698,PCC,DMN,0.02304900050573283
11,0.21803146655125072,0.1730623508606671,PCC,DMN,0.04496911569058362
12,0.3955997977741068,0.3562909733121665,PCC,DMN,0.039308824461940284
13,0.10825431016881448,0.08665763470131677,PCC,DMN,0.021596675467497717
14,0.4211567613271619,0.39023351802403516,PCC,DMN,0.030923243303126735
15,0.19269405535467082,0.19772266168058944,PCC,DMN,-0.0050286063259186164
16,0.22557916402124586,0.21418737776357616,PCC,DMN,0.011391786257669706
17,0.4932646565389619,0.4975765131982247,PCC,DMN,-0.004311856659262814
18,0.4249598555099467,0.4262031698700015,PCC,DMN,-0.0012433143600548147
19,0.35462747387185456,0.33138590465245465,PCC,DMN,0.023241569219399905
20,0.29111873943930233,0.23802040092439658,PCC,DMN,0.05309833851490575
21,0.22600168863495812,0.19940116032070587,PCC,DMN,0.026600528314252248
22,0.22870357693005428,0.22870738852890843,PCC,DMN,-3.8115988541531642e-06
23,0.3951187857397886,0.35974284650072585,PCC,DMN,0.03537593923906274
24,0.27245794696725156,0.2176567344591569,PCC,DMN,0.054801212508094665
1,0.3746214831913369,0.30058992311691635,RSC2,RSC,0.07403156007442058
2,0.8838694922321924,0.5786677206896471,RSC2,RSC,0.30520177154254524
3,1.0682240315442713,0.8858118957137207,RSC2,RSC,0.1824121358305506
4,0.9172920587320424,0.6273607145123913,RSC2,RSC,0.28993134421965117
5,0.7078875644561504,0.46214983722492964,RSC2,RSC,0.24573772723122078
6,0.7391886439984658,0.43975921810831325,RSC2,RSC,0.2994294258901526
7,0.7115764750785672,0.59739716719434,RSC2,RSC,0.11417930788422725
8,0.6218013640363955,0.5776061400036334,RSC2,RSC,0.044195224032762104
9,0.4869826054385042,0.3518564644150703,RSC2,RSC,0.1351261410234339
10,0.8626500978638032,0.7799617422466133,RSC2,RSC,0.0826883556171899
11,0.7428722452313495,0.486749122506081,RSC2,RSC,0.25612312272526855
12,1.0090129546448252,0.9235384358201859,RSC2,RSC,0.0854745188246393
13,0.7759825775570934,0.5380947206871001,RSC2,RSC,0.23788785686999336
14,0.6717053831284467,0.37089806714969276,RSC2,RSC,0.300807315978754
15,0.6079871119529611,0.3129658902178699,RSC2,RSC,0.29502122173509115
16,0.47016515882568766,0.17443676017130727,RSC2,RSC,0.2957283986543804
17,0.7665666376275531,0.28283267909162535,RSC2,RSC,0.4837339585359277
18,0.5958078512843095,0.18750807466239322,RSC2,RSC,0.40829977662191624
19,0.6147752513319249,0.19357631210398332,RSC2,RSC,0.4211989392279416
20,0.4548918113094884,0.1917331073592216,RSC2,RSC,0.2631587039502668
