sub_id,within_state_ps,between_state_ps,cluster,cluster_type,task_index
16,0.781768108297096,0.7657676311917503,PCUN,DMN,0.01600047710534569
16,0.6906548449540284,0.660469125197868,l-IPL1,DMN,0.030185719756160356
16,0.6327556610866915,0.6585236542343882,r-PFC,CONT,-0.025767993147696733
16,0.8100301851767475,0.8241955064438731,l-PFC1,CONT,-0.014165321267125552
16,0.6550939724797984,0.6501554976124344,PCC,DMN,0.0049384748673639844
16,0.7408263273482468,0.7493224643993169,RSC2,RSC,-0.008496137051070107
16,0.7051771923998367,0.7199849545084022,SFG,CONT,-0.014807762108565492
16,0.9081872741390773,0.92601220273772,l-PFC2,CONT,-0.01782492859864271
16,0.8346524065288411,0.8007476647451335,MTG,DMN,0.033904741783707615
16,0.6642324676705077,0.6669312201821845,l-IPL2,DMN,-0.0026987525116768385
16,0.6622010849240164,0.6857571069761403,r-ITG,CONT,-0.023556022052123926
17,0.8351867435766471,0.8327585839704619,mPFC,DMN,0.002428159606185254
17,0.6255250964496999,0.6446538146791767,r-IPL,DMN,-0.019128718229476815
17,0.6578346777803087,0.6278024601639918,RSC1,RSC,0.030032217616316914
17,0.7960188130205563,0.8000464819058941,l-IPS,CONT,-0.004027668885337787
17,0.7145052975367968,0.7042250945556834,r-IPS,CONT,0.010280202981113429
17,0.729340202458539,0.7357632213066381,PCUN,DMN,-0.006423018848099038
17,0.6226025352826342,0.6290131431189796,l-IPL1,DMN,-0.0064106078363453944
17,0.7295337105411279,0.7409459654039299,r-PFC,CONT,-0.011412254862801952
17,0.8781150102896105,0.8736067114922892,l-PFC1,CONT,0.004508298797321286
17,0.7697833753583987,0.7643665549370904,PCC,DMN,0.00541682042130831
17,0.8231432747601077,0.8232865490597054,RSC2,RSC,-0.00014327429959770654
17,0.729711634946517,0.757050841047309,SFG,CONT,-0.02733920610079199
17,0.9144499653931102,0.9069684500102482,l-PFC2,CONT,0.007481515382862014
17,0.9118772595794404,0.9122700517082034,MTG,DMN,-0.0003927921287629754
17,0.7346812919856777,0.7258821254266202,l-IPL2,DMN,0.008799166559057436
17,0.7884386079333467,0.7863422778742315,r-ITG,CONT,0.002096330059115248
