,sub_id,within_state_ps,between_state_ps,cluster,cluster_type,visual_index
204,13,0.7769011512944668,0.7667069448193455,l-PFC2,CONT,0.010194206475121259
205,13,0.7231798255997391,0.7527993217792643,MTG,DMN,-0.029619496179525195
206,13,0.6231161916259975,0.6307978102545218,l-IPL2,DMN,-0.007681618628524234
207,13,0.6840800032254923,0.6998656662925535,r-ITG,CONT,-0.015785663067061195
208,14,0.7444928603878471,0.7566009469452496,mPFC,DMN,-0.012108086557402475
209,14,0.6809451714790613,0.6520164880013681,r-IPL,DMN,0.028928683477693173
210,14,0.7535410660195544,0.7540490282589016,RSC1,RSC,-0.0005079622393472372
211,14,0.8494583854363504,0.8559986190928688,l-IPS,CONT,-0.006540233656518346
212,14,0.8827823318022439,0.8797573249947044,r-IPS,CONT,0.0030250068075394765
213,14,0.6929906399018426,0.6939697986800153,PCUN,DMN,-0.000979158778172673
214,14,0.6313443347640688,0.6155205308521876,l-IPL1,DMN,0.015823803911881207
215,14,0.8030728804676919,0.773496392990716,r-PFC,CONT,0.029576487476975832
216,14,0.8480295321253276,0.8518828170836993,l-PFC1,CONT,-0.003853284958371672
217,14,0.8034565995405142,0.8129522695156537,PCC,DMN,-0.009495669975139509
218,14,0.8135968532708184,0.8214658471289074,RSC2,RSC,-0.007868993858088924
219,14,0.6350059573676169,0.6426780284948587,SFG,CONT,-0.007672071127241775
220,14,0.7238403365736827,0.7458685048725266,l-PFC2,CONT,-0.02202816829884391
221,14,0.8345591853852962,0.8452267896133785,MTG,DMN,-0.010667604228082328
222,14,0.7630015045289753,0.7802500908081069,l-IPL2,DMN,-0.017248586279131617
223,14,0.8726867853638804,0.8845730480137677,r-ITG,CONT,-0.011886262649887236
224,15,0.7865205359324177,0.8206795490817722,mPFC,DMN,-0.034159013149354545
225,15,0.5226278988142077,0.5283140011747278,r-IPL,DMN,-0.00568610236052014
226,15,0.7077149317993958,0.732522960459163,RSC1,RSC,-0.024808028659767167
227,15,0.7997683897548591,0.8103126474809749,l-IPS,CONT,-0.01054425772611578
228,15,0.7935779785900692,0.8024926109984143,r-IPS,CONT,-0.008914632408345113
229,15,0.6740815812069503,0.6964364231381452,PCUN,DMN,-0.02235484193119497
230,15,0.695951257138254,0.7339736477278167,l-IPL1,DMN,-0.03802239058956269
231,15,0.7549490302715723,0.7752526858492514,r-PFC,CONT,-0.020303655577679103
232,15,0.7686326585527625,0.7981803421108311,l-PFC1,CONT,-0.029547683558068583
233,15,0.7752605908465457,0.7776333963858466,PCC,DMN,-0.0023728055393008596
234,15,0.7367609323053921,0.7571024346476878,RSC2,RSC,-0.020341502342295703
235,15,0.7217006120138683,0.7457145310218845,SFG,CONT,-0.024013919008016194
236,15,0.8297503973537929,0.8338918610737021,l-PFC2,CONT,-0.0041414637199092
237,15,0.769228511572337,0.7670274860091426,MTG,DMN,0.0022010255631943476
238,15,0.7182233776580529,0.7340637010309282,l-IPL2,DMN,-0.01584032337287533
239,15,0.8062240285016754,0.8193264230002191,r-ITG,CONT,-0.013102394498543668
240,16,0.6892112127949671,0.6707543357345833,mPFC,DMN,0.01845687706038379
241,16,0.515923568159593,0.5230081717778932,r-IPL,DMN,-0.0070846036183002115
242,16,0.7213036697158002,0.6943191398878816,RSC1,RSC,0.026984529827918546
243,16,0.7567735469921729,0.7349684416466215,l-IPS,CONT,0.021805105345551468
244,16,0.7766095551206663,0.7946904767659648,r-IPS,CONT,-0.01808092164529851
245,16,0.7002365527054337,0.6988525256729079,PCUN,DMN,0.0013840270325258253
246,16,0.6978660685806355,0.6549212045370769,l-IPL1,DMN,0.04294486404355857
247,16,0.7463979606689631,0.758913630108829,r-PFC,CONT,-0.012515669439865817
248,16,0.8679060834282326,0.8303513549154025,l-PFC1,CONT,0.03755472851283015
249,16,0.6891321329957583,0.6870172310660854,PCC,DMN,0.0021149019296728966
250,16,0.7697110797121888,0.7463768913752391,RSC2,RSC,0.02333418833694967
251,16,0.6086836011107245,0.5945541326911108,SFG,CONT,0.014129468419613711
252,16,0.929794234932586,0.9190252590542408,l-PFC2,CONT,0.010768975878345133
253,16,0.8053296276349916,0.8049285550904891,MTG,DMN,0.00040107254450250096
254,16,0.7201824623849619,0.6887492575362355,l-IPL2,DMN,0.03143320484872636
255,16,0.6762117281379618,0.6907270955675103,r-ITG,CONT,-0.014515367429548509
256,17,0.829685556090217,0.8032230338375793,mPFC,DMN,0.026462522252637677
257,17,0.6183120544641585,0.6309139390568457,r-IPL,DMN,-0.012601884592687185
258,17,0.6777513748978139,0.6738200981111769,RSC1,RSC,0.003931276786636961
259,17,0.741244691691152,0.7478282919476913,l-IPS,CONT,-0.006583600256539257
260,17,0.7028812667607965,0.7037538925202804,r-IPS,CONT,-0.0008726257594838804
261,17,0.7085237607891925,0.6949631723155126,PCUN,DMN,0.013560588473679913
262,17,0.61481568105265,0.6070176505245526,l-IPL1,DMN,0.007798030528097466
263,17,0.6914707524566006,0.7152915171984912,r-PFC,CONT,-0.023820764741890543
264,17,0.8649729484113569,0.8798678746634734,l-PFC1,CONT,-0.014894926252116525
265,17,0.7840336546346787,0.7843387078499392,PCC,DMN,-0.0003050532152605312
266,17,0.8263225867511048,0.8042666510113741,RSC2,RSC,0.022055935739730748
267,17,0.7097476809192438,0.7297475384020109,SFG,CONT,-0.019999857482767114
268,17,0.9060442385924407,0.919164269443294,l-PFC2,CONT,-0.013120030850853337
269,17,0.9202599635532938,0.9155353205855852,MTG,DMN,0.004724642967708581
270,17,0.6788142334465935,0.6818470413066853,l-IPL2,DMN,-0.0030328078600917463
271,17,0.785198182454949,0.7782629071644075,r-ITG,CONT,0.006935275290541498
272,18,0.9721884034533119,0.9765385856657963,mPFC,DMN,-0.004350182212484399
273,18,0.6133741196582259,0.613842244777383,r-IPL,DMN,-0.00046812511915717003
274,18,0.8208015565733506,0.7636632505930606,RSC1,RSC,0.057138305980290016
275,18,0.9673035886629504,0.964748563808777,l-IPS,CONT,0.00255502485417336
276,18,0.9379764117483782,0.9186437937259224,r-IPS,CONT,0.019332618022455783
277,18,0.84626224653798,0.8418055259412542,PCUN,DMN,0.0044567205967257495
278,18,0.6965081482442657,0.7137677842818817,l-IPL1,DMN,-0.017259636037616044
279,18,0.8132333726690257,0.799240891916626,r-PFC,CONT,0.013992480752399783
280,18,0.8575335560017057,0.850875726717993,l-PFC1,CONT,0.006657829283712613
281,18,0.9135331333215891,0.8953167808075397,PCC,DMN,0.018216352514049405
282,18,0.8570129339486204,0.8425850510196348,RSC2,RSC,0.01442788292898567
283,18,0.8216148713393528,0.7989049400468462,SFG,CONT,0.022709931292506647
284,18,0.8918635505162894,0.9145049022058946,l-PFC2,CONT,-0.022641351689605238
285,18,0.9578760395404775,0.9592061297726023,MTG,DMN,-0.0013300902321248254
286,18,0.7684236578282378,0.7730785034909069,l-IPL2,DMN,-0.004654845662669049
