,subject_id,epoch_conf,top_n_mask,condition
450,0,-8.08443967,top_100,retper
451,0,-3.06321228,top_100,retper
452,0,-3.90845863,top_100,retper
453,0,-3.540223,top_100,retper
454,0,-3.00679826,top_100,retper
455,0,-4.18865275,top_100,retper
456,0,-1.12369759,top_100,retper
457,0,-1.95099602,top_100,retper
458,0,-3.62778371,top_100,retper
459,0,2.24323779,top_100,retper
460,0,-0.88212083,top_100,retper
461,0,-4.08873169,top_100,retper
462,0,-1.63406837,top_100,retper
463,0,-2.85026662,top_100,retper
464,0,2.23269347,top_100,retper
465,0,-1.34568422,top_100,retper
466,0,6.64201544,top_100,retper
467,0,4.47939888,top_100,retper
468,0,3.1885916,top_100,retper
469,0,0.32275912,top_100,retper
470,0,4.40002652,top_100,retper
471,0,0.83039985,top_100,retper
472,0,4.21213072,top_100,retper
473,0,2.86695802,top_100,retper
474,0,3.74089301,top_100,retper
475,0,2.61054641,top_100,retper
476,0,5.48044812,top_100,retper
477,0,0.67765299,top_100,retper
478,0,2.47378705,top_100,retper
479,0,2.09418123,top_100,retper
480,16,-3.01572234,top_100,retper
481,16,-5.35386708,top_100,retper
482,16,-4.9512684,top_100,retper
483,16,-5.90286169,top_100,retper
484,16,-4.72356497,top_100,retper
485,16,-8.10937438,top_100,retper
486,16,-3.2284197,top_100,retper
487,16,-5.27725224,top_100,retper
488,16,0.36403001,top_100,retper
489,16,-5.10536547,top_100,retper
490,16,-0.76758275,top_100,retper
491,16,-3.94465469,top_100,retper
492,16,-0.88617057,top_100,retper
493,16,-0.9394834,top_100,retper
494,16,-0.80807358,top_100,retper
495,16,-1.07574179,top_100,retper
496,16,4.90292682,top_100,retper
497,16,-0.63205023,top_100,retper
498,16,3.96364774,top_100,retper
499,16,0.56957413,top_100,retper
500,16,-0.20126443,top_100,retper
501,16,2.05190275,top_100,retper
502,16,5.48652384,top_100,retper
503,16,2.04340824,top_100,retper
504,16,4.96701744,top_100,retper
505,16,7.18859862,top_100,retper
506,16,1.51396679,top_100,retper
507,16,7.02861526,top_100,retper
508,16,1.96657411,top_100,retper
509,16,5.23735922,top_100,retper
510,16,1.32760499,top_100,retper
511,16,5.69336212,top_100,retper
512,18,-3.56198394,top_100,retper
513,18,-1.3904234,top_100,retper
514,18,-4.20018882,top_100,retper
515,18,-5.65568282,top_100,retper
516,18,-6.34632694,top_100,retper
517,18,1.58656252,top_100,retper
518,18,-7.70473121,top_100,retper
519,18,-2.6174864,top_100,retper
520,18,-1.61509468,top_100,retper
521,18,-1.11340215,top_100,retper
522,18,-1.19682762,top_100,retper
523,18,-0.53645485,top_100,retper
524,18,4.67107716,top_100,retper
525,18,-1.8947992,top_100,retper
526,18,-0.24469078,top_100,retper
527,18,-4.14067674,top_100,retper
528,18,1.68598342,top_100,retper
529,18,2.5630315,top_100,retper
530,18,8.42226447,top_100,retper
531,18,3.72004595,top_100,retper
532,18,2.82206123,top_100,retper
533,18,3.44429355,top_100,retper
534,18,3.10983695,top_100,retper
535,18,3.68301147,top_100,retper
536,18,3.30579024,top_100,retper
537,18,2.11002455,top_100,retper
538,18,-0.75272196,top_100,retper
539,18,-1.69804321,top_100,retper
540,18,0.98896343,top_100,retper
541,18,0.8252409,top_100,retper
542,18,4.36703731,top_100,retper
543,18,-2.20348466,top_100,retper
544,20,-0.77713309,top_100,retper
545,20,-3.07494323,top_100,retper
546,20,-5.94653613,top_100,retper
547,20,-3.25884983,top_100,retper
548,20,-1.10101974,top_100,retper
549,20,2.7048735,top_100,retper
550,20,-6.80009225,top_100,retper
551,20,-6.78033269,top_100,retper
552,20,-2.5522179,top_100,retper
553,20,-4.89815034,top_100,retper
554,20,-6.01224173,top_100,retper
555,20,-1.49310686,top_100,retper
556,20,-0.8826437,top_100,retper
557,20,-1.60826517,top_100,retper
558,20,-6.15255167,top_100,retper
559,20,-3.34179508,top_100,retper
560,20,4.78687361,top_100,retper
561,20,3.83022927,top_100,retper
562,20,-0.79379716,top_100,retper
563,20,5.82314033,top_100,retper
564,20,3.96823988,top_100,retper
565,20,0.16620029,top_100,retper
566,20,3.59864682,top_100,retper
567,20,3.76149603,top_100,retper
568,20,2.46940414,top_100,retper
569,20,2.77897834,top_100,retper
570,20,4.31933519,top_100,retper
571,20,5.42349805,top_100,retper
572,20,3.1608064,top_100,retper
573,20,2.60202254,top_100,retper
574,20,4.06891348,top_100,retper
575,20,3.6888523,top_100,retper
576,15,-1.58798175,top_100,retper
577,15,-0.91406467,top_100,retper
578,15,-4.29574842,top_100,retper
579,15,-5.60653214,top_100,retper
580,15,-3.44293305,top_100,retper
581,15,-2.21881479,top_100,retper
582,15,-7.61820095,top_100,retper
583,15,-1.49658074,top_100,retper
584,15,1.53065216,top_100,retper
585,15,-0.62328459,top_100,retper
586,15,2.97225981,top_100,retper
587,15,1.62302373,top_100,retper
588,15,1.443831,top_100,retper
589,15,2.39777773,top_100,retper
590,15,1.43910018,top_100,retper
591,15,1.53705501,top_100,retper
592,15,2.59209658,top_100,retper
593,15,-0.98507749,top_100,retper
594,15,-0.17109386,top_100,retper
595,15,-2.00639601,top_100,retper
596,15,1.34404736,top_100,retper
597,15,-0.81252406,top_100,retper
598,15,-1.45500572,top_100,retper
599,15,1.43655837,top_100,retper
600,15,1.813835,top_100,retper
601,15,-0.81571609,top_100,retper
602,15,0.75850683,top_100,retper
603,15,3.24453725,top_100,retper
604,15,4.28992929,top_100,retper
605,15,5.86381592,top_100,retper
606,15,-1.02376877,top_100,retper
607,15,1.04462497,top_100,retper
608,21,-0.45534689,top_100,retper
609,21,-2.49204037,top_100,retper
610,21,-2.59140652,top_100,retper
611,21,-1.35621105,top_100,retper
612,21,-3.0545716,top_100,retper
613,21,-1.44638476,top_100,retper
614,21,-3.12600693,top_100,retper
615,21,-3.69075702,top_100,retper
616,21,-0.60509429,top_100,retper
617,21,-3.67435453,top_100,retper
618,21,0.28259651,top_100,retper
619,21,0.04632532,top_100,retper
620,21,-3.4695416,top_100,retper
621,21,-4.11410658,top_100,retper
622,21,-0.89091401,top_100,retper
623,21,-2.5142071,top_100,retper
624,21,2.49139161,top_100,retper
625,21,-2.46236785,top_100,retper
626,21,0.27304795,top_100,retper
627,21,-0.49087063,top_100,retper
628,21,3.18807725,top_100,retper
629,21,0.41390358,top_100,retper
630,21,4.35735663,top_100,retper
631,21,0.18473983,top_100,retper
632,21,1.42163151,top_100,retper
633,21,1.89330608,top_100,retper
634,21,2.61786175,top_100,retper
635,21,2.0544738,top_100,retper
636,21,2.03644661,top_100,retper
637,21,4.75185332,top_100,retper
638,21,4.02247702,top_100,retper
639,21,3.23488582,top_100,retper
640,17,-0.66842447,top_100,retper
641,17,-4.02871148,top_100,retper
642,17,-4.01867465,top_100,retper
643,17,-1.24817011,top_100,retper
644,17,0.89326814,top_100,retper
645,17,-0.29158272,top_100,retper
646,17,-4.16775677,top_100,retper
647,17,-3.7955184,top_100,retper
648,17,-5.15703836,top_100,retper
649,17,-1.94998966,top_100,retper
650,17,-1.80847124,top_100,retper
651,17,-3.19940078,top_100,retper
652,17,-7.23857206,top_100,retper
