index,sub_id,mask_size,condition,auc
10,11,top_10000,retper,0.9921875
11,12,top_10000,retper,0.7734375
12,13,top_10000,retper,0.8828125
13,14,top_10000,retper,0.94140625
14,15,top_10000,retper,0.87109375
15,16,top_10000,retper,0.875
16,17,top_10000,retper,0.88671875
17,18,top_10000,retper,0.91015625
18,19,top_10000,retper,0.8984375
19,20,top_10000,retper,0.93359375
20,21,top_10000,retper,1.0
21,22,top_10000,retper,0.80078125
22,23,top_10000,retper,0.92578125
23,24,top_10000,retper,0.97265625
24,1,top_10000,scrret,0.68359375
25,2,top_10000,scrret,0.65234375
26,3,top_10000,scrret,0.91796875
27,4,top_10000,scrret,0.87890625
28,5,top_10000,scrret,0.58203125
29,6,top_10000,scrret,0.91796875
30,7,top_10000,scrret,0.84765625
31,8,top_10000,scrret,0.875
32,9,top_10000,scrret,0.92578125
33,10,top_10000,scrret,0.796875
34,11,top_10000,scrret,0.8984375
35,12,top_10000,scrret,0.92578125
36,13,top_10000,scrret,0.875
37,14,top_10000,scrret,0.8515625
38,15,top_10000,scrret,0.82421875
39,16,top_10000,scrret,0.76953125
40,17,top_10000,scrret,0.828125
41,18,top_10000,scrret,0.87890625
42,19,top_10000,scrret,0.8515625
43,20,top_10000,scrret,0.921875
44,21,top_10000,scrret,0.8984375
45,22,top_10000,scrret,0.79296875
46,23,top_10000,scrret,0.953125
47,24,top_10000,scrret,0.8125
48,1,top_10000,scrper,0.61328125
49,2,top_10000,scrper,0.68359375
50,3,top_10000,scrper,0.90625
51,4,top_10000,scrper,0.74609375
52,5,top_10000,scrper,0.72265625
53,6,top_10000,scrper,0.88671875
54,7,top_10000,scrper,0.8671875
55,8,top_10000,scrper,0.734375
56,9,top_10000,scrper,0.85546875
57,10,top_10000,scrper,0.6171875
58,11,top_10000,scrper,0.78515625
59,12,top_10000,scrper,0.82421875
60,13,top_10000,scrper,0.4609375
61,14,top_10000,scrper,0.80078125
62,15,top_10000,scrper,0.73828125
63,16,top_10000,scrper,0.73046875
64,17,top_10000,scrper,0.78125
65,18,top_10000,scrper,0.8125
66,19,top_10000,scrper,0.625
67,20,top_10000,scrper,0.66015625
68,21,top_10000,scrper,0.82421875
69,22,top_10000,scrper,0.71875
70,23,top_10000,scrper,0.87890625
71,24,top_10000,scrper,0.91796875
0,1,top_15000,retper,0.82421875
1,2,top_15000,retper,0.7578125
2,3,top_15000,retper,0.8984375
3,4,top_15000,retper,0.73828125
4,5,top_15000,retper,0.80859375
5,6,top_15000,retper,0.9140625
6,7,top_15000,retper,0.8359375
7,8,top_15000,retper,0.91796875
8,9,top_15000,retper,0.94921875
9,10,top_15000,retper,0.9296875
10,11,top_15000,retper,0.98828125
11,12,top_15000,retper,0.7578125
12,13,top_15000,retper,0.87890625
13,14,top_15000,retper,0.92578125
14,15,top_15000,retper,0.890625
15,16,top_15000,retper,0.85546875
16,17,top_15000,retper,0.87890625
17,18,top_15000,retper,0.92578125
18,19,top_15000,retper,0.90234375
19,20,top_15000,retper,0.93359375
20,21,top_15000,retper,1.0
21,22,top_15000,retper,0.8046875
22,23,top_15000,retper,0.91796875
23,24,top_15000,retper,0.984375
24,1,top_15000,scrret,0.6484375
25,2,top_15000,scrret,0.671875
26,3,top_15000,scrret,0.890625
27,4,top_15000,scrret,0.875
28,5,top_15000,scrret,0.5546875
29,6,top_15000,scrret,0.921875
30,7,top_15000,scrret,0.85546875
31,8,top_15000,scrret,0.88671875
32,9,top_15000,scrret,0.94140625
33,10,top_15000,scrret,0.8125
34,11,top_15000,scrret,0.89453125
35,12,top_15000,scrret,0.90625
36,13,top_15000,scrret,0.85546875
37,14,top_15000,scrret,0.8359375
38,15,top_15000,scrret,0.78125
39,16,top_15000,scrret,0.76171875
40,17,top_15000,scrret,0.84765625
41,18,top_15000,scrret,0.91015625
42,19,top_15000,scrret,0.83984375
43,20,top_15000,scrret,0.9140625
44,21,top_15000,scrret,0.8671875
45,22,top_15000,scrret,0.7890625
46,23,top_15000,scrret,0.95703125
47,24,top_15000,scrret,0.8046875
48,1,top_15000,scrper,0.609375
49,2,top_15000,scrper,0.6640625
50,3,top_15000,scrper,0.90234375
51,4,top_15000,scrper,0.75390625
52,5,top_15000,scrper,0.76171875
53,6,top_15000,scrper,0.91015625
54,7,top_15000,scrper,0.87890625
55,8,top_15000,scrper,0.7421875
56,9,top_15000,scrper,0.875
57,10,top_15000,scrper,0.6328125
58,11,top_15000,scrper,0.7890625
59,12,top_15000,scrper,0.82421875
60,13,top_15000,scrper,0.43359375
61,14,top_15000,scrper,0.8125
62,15,top_15000,scrper,0.7265625
63,16,top_15000,scrper,0.73046875
64,17,top_15000,scrper,0.81640625
65,18,top_15000,scrper,0.80859375
66,19,top_15000,scrper,0.59375
67,20,top_15000,scrper,0.7109375
68,21,top_15000,scrper,0.8515625
69,22,top_15000,scrper,0.7265625
70,23,top_15000,scrper,0.859375
71,24,top_15000,scrper,0.93359375
